name
米
玄米
雑穀・麦
もち米・お粥・餅
シリアル
うどん
そうめん
そば
パスタ
つけ麺
冷や麦
冷麺
アスパラガス
かぼちゃ
キノコ
キャベツ
ごぼう
さつまいも
じゃがいも
しょうが
だいこん
たけのこ
たまねぎ
とうもろこし
トマト
なす
にんじん
にんにく
ねぎ
ピーマン
ブロッコリー
らっきょう
レタス
れんこん
山菜
豆類
白菜アジ
アナゴ
イカ
イクラ・筋子
イワシ
ウナギ
ウニ
エビ
カツオ
カニ
サケ
サバ
サンマ
シシャモ
タイ
タコ
タラ
たらこ
ちりめん・しらす
フグ
ホッケ
マグロ
海藻類
数の子
明太子
貝
牛肉
豚肉
とり肉
ひき肉
羊肉
鴨肉
鹿肉
七面鳥
ベーコン
ハム
ソーセージ
チーズ
ヨーグルト
牛乳
生クリーム
コーヒー用ミルク
バター
マーガリン
卵
うずら卵
ピータン
温泉たまご
燻製卵
みかん・柑橘類
オレンジ
メロン
マンゴー
さくらんぼ
りんご
いちご
パイナップル
レモン
グレープフルーツ
キウイフルーツ
ベリー類
すいか
梅・プラム
トロピカルフルーツ
柿
びわ
栗
ぶどう
バナナ
もも
あんず
日本梨
洋なし
イチジク
ザクロ
もも
豆腐
油揚げ・厚揚げ
豆腐よう
生湯葉
納豆
キムチ
梅干し
沢庵
漬物
こんにゃく・白滝
佃煮
メンマ・ザーサイ
食パン
菓子パン
惣菜パン
クロワッサン
ロールパン・バンズ
ベーグル
デニッシュ
スコーン
バケット・バタール
ナン
グリッシーニ
マフィン
ジャム・コンフィチュール
はちみつ
メープルシロップ
スプレッド
コンポート
チョコ・フルーツソース
小麦粉
パン粉
片栗粉
天ぷら粉
から揚げ粉
ノンフライ用粉
そば粉
米粉
コーンスターチ
小麦胚芽・ふすま
お好み焼・たこ焼き粉
だし昆布
とろろ昆布
乾燥わかめ
乾燥ひじき
味付けのり
焼きのり
青のり
煮干し
干しえび
削り節・鰹節
麩
乾燥ゆば
春雨
くずきり
高野豆腐
乾燥野菜
切干大根
干し椎茸
かんぴょう
きくらげ
ごま
きな粉
乾燥豆
ふりかけ
お茶漬け
クッキー、ビスケット
スープ
ゼリー
しょうゆ
たれ、つゆ
だし、ブイヨン
みそ
ケチャップ、マヨネーズ
ソース
ドレッシング
塩
砂糖
酢
薬味
ハーブ
スパイス
オイル
クッキー
チョコレート
チーズケーキ
ロールケーキ
シフォンケーキ
チョコレートケーキ
パウンドケーキ
モンブラン
ミルクレープ
ミルフィーユ
フルーツケーキ・ケーキ
バターケーキ
タルト・パイ
マカロン
シュークリーム・エクレア
ドーナツ
バウムクーヘン
ワッフル
ティラミス
ムース・ババロア
スイートポテト
マドレーヌ
フィナンシェ
ラスク
マロングラッセ
ナッツ類
あめ・キャンディ
ガム
製菓用チョコレート
製菓用フルーツ
製菓用ナッツ
するめ・いか
たこ
貝類
いわし
たら
鮭
小魚
かまぼこ
サラミ・ジャーキー
昆布
わかめ
梅
チーズ
柿の種
チップス
レーズン
マンゴー
イチジク
プルーン
ブルーベリー
デーツ
梅
クランベリー
パイナップル
アプリコット
バナナ
ベリー
いちご
パパイヤ
ピーチ
コーヒー
ココア
